Start Date,Event Category,Description,Event Type,Event Country,Event Province,Event Type V2,Headline,E Latitude,E Longitude
2/1/2022 12:00:00 AM,Government & Political,"In Washington, the United States (US),  the Secretary of State Antony Blinken spoke with the Russian Foreign Minister Sergey Lavrov to follow up on US written response to Russia’s security proposals. Further he reiterated US support to Ukraine's sovereignty and warning of severe consequences in the event of if Russia invades Ukraine, State Government reported. Source link : https://www.state.gov/secretary-blinkens-call-with-russian-foreign-minister-lavrov-6/",,United States,District of Columbia,Statement,US Secretary of State with the Russian Foreign Minister in the United States' Washington,38.8948244,-77.0470168
2/1/2022 12:00:00 AM,Government & Political,"In Washington D.C, the United States, the US State Department ordered family members of US embassy employees operating in Belarus to leave the country and further issued a travel advisory for US nationals from visiting Belarus over the latter's close ties with Russia, amid ongoing Russian military buildup along Ukraine's border, the Hill reported. Source link : https://thehill.com/policy/international/592262-state-department-orders-embassy-employees-families-to-leave-belarus",,United States,District of Columbia,Statement,US State Department of State orders its nationals to leave from Belarus in the United States' Washington,38.8948244,-77.0470168
2/1/2022 12:00:00 AM,Government & Political,"In Washington, the United states, Secretary of State Antony Blinken spoke with the NATO Secretary-General Jens Stoltenberg, OSCE Chairman-in-Office Zbigniew Rau, and EU High Representative Josep Borrell to follow-up on progress related to Russian military build up along Ukraine's border, among others, State Governemnt reported. Source link : https://www.state.gov/secretary-blinkens-call-with-nato-secretary-general-stoltenberg-osce-chair-in-office-and-polish-foreign-minister-rau-and-eu-high-representative-borrell/",,United States,District of Columbia,Statement,Secretary of state speaks with NATO-General,38.8948244,-77.0470168
2/1/2022 12:00:00 AM,Government & Political,"In Moscow, Russia, President Vladimir Putin stated that the United States response on Russia's security guarantees had ignored three Russian major concerns. Russia's concerns included North Atlantic Treaty Organization's (NATO's) possible eastward expansion, particularly into Ukraine and Georgia, the continued deployment of weapon systems near Russia, and NATO's expansion beyond its 1997 footprint, RBC reported. Source link : https://www.rbc.ru/politics/01/02/2022/61f962d39a79479a1bec32ef?from=from_main_1",State Action,Russian Federation,Moscow,Statement,Russia's President states that US ignored its concerns,55.755826,37.6173
2/1/2022 12:00:00 AM,Government & Political,"In Brussels, Belgium, the European Commission formally initiated a proposal to distribute EUR1.2 billion of a macro financial assistance to Ukraine, if approved by the Council and the European Parliament, the commission would immediately transfer the first EUR600 million, EC Europa reported. Source link : https://ec.europa.eu/commission/presscorner/detail/en/ip_22_674",State Action,Belgium,Brussel,Statement,European Commission proposes to financially assist Ukraine,50.8476424,4.3571696
2/1/2022 12:00:00 AM,Government & Political,"In Washington, United States, Department of State ordered evacuation of its embassy staff and their dependents from Belarus due to 'unusual and concerning Russian military activity near the border with Ukraine'. It also issued a public warning against travel to the country, Zerkalo reported. Source link : https://news.zerkalo.io/economics/9348.html",State Action,United States,District of Columbia,Statement,US Department of State orders evacuation of its staff from Belarus,38.8899389,-77.0090505
2/1/2022 12:00:00 AM,Government & Political,"In Ottawa, Canada, Defense Minister Anita Anand, during a meeting with NATO Secretary-General Jens Stoltenberg, expressed the nation's support to impose economic sanctions on Russia in the event of Russian invasion in Ukraine and reaffirmed plans to expand its training mission in Ukraine, Reuters reported. Source link : https://www.reuters.com/world/canada-nato-says-russia-has-choice-between-de-escalation-sanctions-2022-02-01/",,Canada,Ontario,Statement,Defense Minister expresses the nation's support to impose economic sanctions on Russia in Canada's Ottawa,45.4215296,-75.6971931
2/1/2022 12:00:00 AM,Government & Political,"In Kyiv, Ukraine, National Security and Defence Council (NSDC) secretary Alexei Danilov urged France and Germany to not force Ukraine for the implementation of the Minsk agreement on the Donbas conflict settlement, as its fulfilment could deteriorate the domestic political situation in the country, DW reported. Source link : https://www.dw.com/ru/v-kieve-schitajut-chto-vypolnenie-minskih-soglashenij-unichtozhit-ukrainu/a-60616843",State Action,Ukraine,Kyiv,Statement,Ukraine’s NSDC secretary warns against implementation of Minsk agreement,50.45,30.523
2/1/2022 12:00:00 AM,Government & Political,"In Kyiv, Ukraine, United Kingdom's Prime Minister Boris Johnson met with President Volodymyr Zelenskyy to discuss Russian hostilities, including military buildup near Ukrainian territory. Johnson reiterated UK’s support for Ukrainian sovereignty and territorial integrity and the leaders warned of the humanitarian cost of a Russian invasion, Government UK reported. Source link : https://www.gov.uk/government/news/uk-ukraine-joint-leaders-statement-1-february-2022",State Action,Ukraine,Kyiv,Statement,UK Prime Minister meets Ukraine's President to discuss Russian hostilities,50.45,30.523
2/1/2022 12:00:00 AM,Government & Political,"In Ottawa, Canada, the federal government updated its travel advisory and urged its citizens to avoid all kinds of travel to Ukraine, amid Russian military build-up along Ukraine's borders. The government had initially asked Canadians to avoid only non-essential travel to Ukraine, Global News reported. Source link : https://globalnews.ca/news/8586376/avoid-all-travel-to-ukraine-canada-russia-tensions/",,Canada,Ontario,Statement,Government update its travel advisory to Ukraine in Canada's Ottawa,45.4215296,-75.6971931
